Oscar Dansk,/players/d/danskos01.html,G,4,4,0,0,0,0.9,3
Dylan Ferguson,/players/f/fergudy01.html,G,1,1,0,0,0,-0.1,0
Marc-Andre Fleury,/players/f/fleurma01.html,G,107,798,0,17,17,140.5,439
Maxime Lagace,/players/l/lagacma01.html,G,17,17,0,0,0,0.3,6
Malcolm Subban,/players/s/subbama01.html,G,43,45,0,0,0,5.8,21
Pierre-Edouard Bellemare,/players/b/bellepi01.html,LW,148,385,29,36,65,1.7,0
Ryan Carpenter,/players/c/carpery01.html,C,104,132,16,21,37,2.8,0
Daniel Carr,/players/c/carrda01.html,LW,6,100,15,20,35,3.8,0
William Carrier,/players/c/carriwi01.html,LW,91,132,14,6,20,1.3,0
Cody Eakin,/players/e/eakinco01.html,C,158,537,98,124,222,19.8,0
Deryk Engelland,/players/e/engelde01.html,D,153,622,29,92,121,24.1,0
Jason Garrison,/players/g/garrija01.html,D,8,555,49,111,160,38.3,0
Erik Haula,/players/h/haulaer01.html,LW,91,357,73,78,151,16.8,0
Nick Holden,/players/h/holdeni01.html,D,61,435,39,88,127,26.1,0
Brad Hunt,/players/h/huntbr01.html,D,58,120,10,29,39,5.6,0
Tomas Hyka,/players/h/hykato01.html,RW,27,27,2,5,7,0.4,0
William Karlsson,/players/k/karlswi01.html,C,164,347,85,99,184,20.9,0
Brendan Leipsic,/players/l/leipsbr01.html,LW,44,126,13,35,48,2.9,0
Oscar Lindberg,/players/l/lindbos02.html,C,98,252,39,40,79,7.8,0
Jon Marchessault,/players/a/audymjo01.html,C,159,283,90,114,204,23.9,0
Stefan Matteau,/players/m/mattest02.html,LW,8,64,3,4,7,-0.4,0
Brayden McNabb,/players/m/mcnabbr01.html,D,157,395,16,65,81,22.5,0
Jonathon Merrill,/players/m/merrijo01.html,D,91,307,10,44,54,12.4,0
Colin Miller,/players/m/milleco02.html,D,147,250,22,77,99,16.4,0
James Neal,/players/n/nealja01.html,LW,71,766,270,244,514,63.6,0
Tomas Nosek,/players/n/nosekto01.html,C,135,152,16,17,33,1.8,0
Max Pacioretty,/players/p/pacioma01.html,LW,66,692,248,240,488,62.8,0
David Perron,/players/p/perroda01.html,LW,70,779,198,292,490,54.3,0
Brandon Pirri,/players/p/pirribr01.html,C,33,259,72,47,119,15.3,0
Ryan Reaves,/players/r/reavery01.html,RW,101,578,40,41,81,4.8,0
Luca Sbisa,/players/s/sbisalu01.html,D,30,504,18,85,103,20.3,0
Nate Schmidt,/players/s/schmina01.html,D,137,337,22,87,109,25.0,0
Jimmy Schuldt,/players/s/schulja01.html,D,1,1,0,1,1,0.0,0
Vadim Shipachyov,/players/s/shipava01.html,LW,3,3,1,0,1,0.3,0
Reilly Smith,/players/s/smithre01.html,RW,141,506,117,183,300,34.4,0
Paul Stastny,/players/s/stastpa01.html,C,50,874,233,455,688,71.6,0
Mark Stone,/players/s/stonema01.html,RW,18,384,128,194,322,38.6,0
Tomas Tatar,/players/t/tatarto01.html,C,20,507,144,142,286,34.6,0
Shea Theodore,/players/t/theodsh01.html,D,140,193,23,60,83,14.8,0
Alex Tuch,/players/t/tuchal01.html,RW,152,158,35,54,89,9.0,0
Zach Whitecloud,/players/w/whiteza01.html,D,1,1,0,0,0,0.2,0
Valentin Zykov,/players/z/zykovva01.html,LW,10,40,6,7,13,1.3,0
